100 2
2 1 
9 12 1
4 7 1
0 4 2
0 2 2
8 12 2
18 21 2
17 21 1
17 20 2
7 11 2
11 13 1
15 18 2
0 4 1
6 8 2
1 4 2
11 14 2
12 16 1
16 18 2
5 7 1
18 21 2
20 0 2
22 1 2
17 19 2
21 23 2
12 15 1
11 15 1
13 16 2
14 15 1
7 10 1
22 1 1
8 12 2
17 22 1
22 2 2
15 19 2
12 16 2
16 18 1
10 12 1
22 0 1
9 11 2
12 16 2
5 7 2
23 1 2
3 6 1
13 18 2
16 20 1
16 20 2
9 13 1
23 2 2
14 18 2
15 18 1
12 15 2
23 1 1
18 21 1
21 0 1
17 20 1
17 20 2
10 13 1
0 2 2
8 12 1
13 17 2
15 18 1
18 22 2
1 4 1
18 23 1
1 4 1
21 23 1
8 11 1
22 1 1
7 11 2
1 4 2
12 16 1
23 2 1
16 19 2
8 9 2
5 7 1
22 3 2
2 6 2
12 16 2
20 0 2
22 3 1
18 22 2
2 5 1
2 4 2
23 2 1
20 23 1
6 9 1
19 22 2
19 22 2
9 12 1
16 19 2
17 20 2
18 21 2
15 17 2
13 18 2
5 8 1
20 1 1
17 19 1
14 17 1
11 13 1
5 7 2
11 14 2
