num_filmes,num_categorias,runtime_openMP,runtime_exhaustive,runtime_gpu,amount_of_films_openMP,amount_of_films_exhaustive,amount_of_films_gpu
22,8,0.7044098377227783,0.9061446189880371,0.5093085765838623,8,8,8
16,8,0.10264372825622559,0.10266470909118652,0.30493950843811035,7,7,7
30,2,32.65296220779419,39.90916085243225,0.30420660972595215,2,2,2
12,2,0.1051476001739502,0.10324835777282715,0.30448126792907715,3,3,3
14,4,0.10287642478942871,0.10282182693481445,0.3038821220397949,5,5,5
18,8,0.20309710502624512,0.203169584274292,0.3039708137512207,7,7,7
20,8,0.30362820625305176,0.40349698066711426,0.3040792942047119,5,5,5
22,4,0.10490870475769043,0.1030726432800293,0.3043937683105469,6,6,6
30,4,37.71320295333862,43.52741575241089,0.5051901340484619,7,7,7
10,2,0.10443234443664551,0.10405635833740234,0.3042271137237549,4,4,4
14,8,0.10266351699829102,0.10384917259216309,0.30382513999938965,5,5,5
24,2,0.6040732860565186,0.704200267791748,0.303879976272583,4,4,4
14,2,0.10316801071166992,0.10432720184326172,0.30515074729919434,2,2,2
24,4,4.3160240650177,6.318916082382202,0.3040926456451416,6,6,6
16,2,0.10318565368652344,0.10335016250610352,0.30394458770751953,3,3,3
16,4,0.10373091697692871,0.10323262214660645,0.3073604106903076,5,5,5
26,2,5.7420971393585205,4.615978240966797,0.3047468662261963,2,2,2
10,4,0.10423088073730469,0.10272789001464844,0.3054773807525635,5,5,5
12,4,0.1028895378112793,0.10255694389343262,0.3050863742828369,5,5,5
10,8,0.10399723052978516,0.10247969627380371,0.3038630485534668,3,3,3
30,8,72.88688635826111,86.63834834098816,0.7049844264984131,8,8,8
26,8,0.9065549373626709,1.2055785655975342,0.30397558212280273,5,5,5
22,2,0.8046920299530029,1.6090319156646729,0.31110119819641113,2,2,2
26,4,0.5068697929382324,0.9065299034118652,0.3043060302734375,5,5,5
28,8,9.852869749069214,10.2306649684906,0.4041171073913574,6,6,6
18,2,0.1024160385131836,0.10497617721557617,0.3108706474304199,2,2,2
28,4,1.1050527095794678,1.7068352699279785,0.4038887023925781,6,6,6
18,4,0.1045842170715332,0.20411920547485352,0.3312046527862549,7,7,7
12,8,0.10293102264404297,0.10394167900085449,0.3445014953613281,6,6,6
24,8,1.907409429550171,3.110746383666992,0.32105135917663574,6,6,6
20,4,0.10692572593688965,0.10280251502990723,0.31078553199768066,4,4,4
28,2,14.263436079025269,17.250006437301636,0.30366969108581543,3,3,3
20,2,0.30340147018432617,0.30344486236572266,0.3287782669067383,2,2,2
